film_title,frequency,percentage
Destination Jerk,1,0.10
Smile Earring,1,0.10
Maude Mod,1,0.10
Party Knock,1,0.10
Dying Maker,1,0.10
Fugitive Maguire,1,0.10
Tomorrow Hustler,1,0.10
Doubtfire Labyrinth,1,0.10
Park Citizen,1,0.10
Full Flatliners,1,0.10
Savannah Town,1,0.10
Virginian Pluto,1,0.10
Dynamite Tarzan,1,0.10
Expecations Natural,1,0.10
North Tequila,1,0.10
Oleander Clue,1,0.10
Anaconda Confessions,1,0.10
Chicago North,1,0.10
Circus Youth,1,0.10
Secret Groundhog,1,0.10
Murder Antitrust,1,0.10
Nemo Campus,1,0.10
Slipper Fidelity,1,0.10
Road Roxanne,1,0.10
Beauty Grease,1,0.10
Right Cranes,1,0.10
River Outlaw,1,0.10
Intolerable Intentions,1,0.10
Idaho Love,1,0.10
Detective Vision,1,0.10
Balloon Homeward,1,0.10
Christmas Moonshine,1,0.10
Mockingbird Hollywood,1,0.10
Lover Truman,1,0.10
Gathering Calendar,1,0.10
Drums Dynamite,1,0.10
Samurai Lion,1,0.10
Pond Seattle,1,0.10
Pearl Destiny,1,0.10
